,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,experiment,hid,pid,sid
1585,235.855099916,3896.65389991,65.3294000626,0.0266001224518,0.328899860382,exp6,CRUSH.OSG,pilot.0065,rp.session.radical.mturilli.017092.0005
1586,294.654500008,3837.85449982,65.3294000626,0.0266001224518,0.328899860382,exp6,CRUSH.OSG,pilot.0066,rp.session.radical.mturilli.017092.0005
1587,301.079699993,3831.42929983,65.3294000626,0.0266001224518,0.328899860382,exp6,CRUSH.OSG,pilot.0067,rp.session.radical.mturilli.017092.0005
1588,307.409099817,3825.09990001,65.3294000626,0.0266001224518,0.328899860382,exp6,CRUSH.OSG,pilot.0068,rp.session.radical.mturilli.017092.0005
1589,296.335999966,3836.17299986,65.3294000626,0.0266001224518,0.328899860382,exp6,CRUSH.OSG,pilot.0069,rp.session.radical.mturilli.017092.0005
1590,360.272899866,3772.23609996,65.3294000626,0.0266001224518,0.328899860382,exp6,CRUSH.OSG,pilot.0070,rp.session.radical.mturilli.017092.0005
1591,294.98939991,3837.51959991,65.3294000626,0.0266001224518,0.328899860382,exp6,CRUSH.OSG,pilot.0071,rp.session.radical.mturilli.017092.0005
1592,210.984200001,3921.52479982,65.3294000626,0.0266001224518,0.328899860382,exp6,CRUSH.OSG,pilot.0072,rp.session.radical.mturilli.017092.0005
1593,292.22420001,3840.28479981,65.3294000626,0.0266001224518,0.328899860382,exp6,CRUSH.OSG,pilot.0073,rp.session.radical.mturilli.017092.0005
1594,319.194700003,3813.31429982,65.3294000626,0.0266001224518,0.328899860382,exp6,CRUSH.OSG,pilot.0074,rp.session.radical.mturilli.017092.0005
1595,233.334199905,3899.17479992,65.3294000626,0.0266001224518,0.328899860382,exp6,CRUSH.OSG,pilot.0075,rp.session.radical.mturilli.017092.0005
1596,290.948399782,3841.56060004,65.3294000626,0.0266001224518,0.328899860382,exp6,CRUSH.OSG,pilot.0076,rp.session.radical.mturilli.017092.0005
1597,215.935599804,3916.57340002,65.3294000626,0.0266001224518,0.328899860382,exp6,CRUSH.OSG,pilot.0077,rp.session.radical.mturilli.017092.0005
1598,329.312099934,3803.19689989,65.3294000626,0.0266001224518,0.328899860382,exp6,CRUSH.OSG,pilot.0078,rp.session.radical.mturilli.017092.0005
1599,318.609699965,3813.89929986,65.3294000626,0.0266001224518,0.328899860382,exp6,CRUSH.OSG,pilot.0079,rp.session.radical.mturilli.017092.0005
1600,315.088999987,3817.41999984,65.3294000626,0.0266001224518,0.328899860382,exp6,CRUSH.OSG,pilot.0080,rp.session.radical.mturilli.017092.0005
1601,,,65.3294000626,0.0266001224518,0.328899860382,exp6,CRUSH.OSG,pilot.0081,rp.session.radical.mturilli.017092.0005
1602,298.505399942,3834.00359988,65.3294000626,0.0266001224518,0.328899860382,exp6,CRUSH.OSG,pilot.0082,rp.session.radical.mturilli.017092.0005
1603,314.034399986,3818.47459984,65.3294000626,0.0266001224518,0.328899860382,exp6,CRUSH.OSG,pilot.0083,rp.session.radical.mturilli.017092.0005
1604,312.050899982,3820.45809984,65.3294000626,0.0266001224518,0.328899860382,exp6,CRUSH.OSG,pilot.0084,rp.session.radical.mturilli.017092.0005
1605,209.651299953,3922.85769987,65.3294000626,0.0266001224518,0.328899860382,exp6,CRUSH.OSG,pilot.0085,rp.session.radical.mturilli.017092.0005
1606,349.723899841,3782.78509998,65.3294000626,0.0266001224518,0.328899860382,exp6,CRUSH.OSG,pilot.0086,rp.session.radical.mturilli.017092.0005
1607,329.045199871,3803.46379995,65.3294000626,0.0266001224518,0.328899860382,exp6,CRUSH.OSG,pilot.0087,rp.session.radical.mturilli.017092.0005
1608,209.519199848,3922.98979998,65.3294000626,0.0266001224518,0.328899860382,exp6,CRUSH.OSG,pilot.0088,rp.session.radical.mturilli.017092.0005
1609,286.53670001,3845.97229981,65.3294000626,0.0266001224518,0.328899860382,exp6,CRUSH.OSG,pilot.0089,rp.session.radical.mturilli.017092.0005
1610,341.04039979,3791.46860003,65.3294000626,0.0266001224518,0.328899860382,exp6,CRUSH.OSG,pilot.0090,rp.session.radical.mturilli.017092.0005
1611,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0091,rp.session.radical.mturilli.017092.0005
1612,295.845199823,3836.6638,65.3294000626,0.0266001224518,0.328899860382,exp6,local,pilot.0092,rp.session.radical.mturilli.017092.0005
